"OBJIDsic","Region_new","Region_unique","island","UN_geospat"
589,"Port_Curtis","AUS_Port_Curtis_589","MAIN","Oceania"
590,"Kennedy_South","AUS_Kennedy_South_590","MAIN","Oceania"
591,"Warrego","AUS_Warrego_591","MAIN","Oceania"
592,"Wide_Bay","AUS_Wide_Bay_592","MAIN","Oceania"
593,"","AUS_Rat_Island_593","ISL","Oceania"
594,"SA_EA","AUS_SA_EA_594","MAIN","Oceania"
595,"Eyre_Peninsula","AUS_Eyre_Peninsula_595","MAIN","Oceania"
596,"Flinders_Ranges","AUS_Flinders_Ranges_596","MAIN","Oceania"
597,"Gairdner_Torrens_Basin","AUS_Gairdner_Torrens_Basin_597","MAIN","Oceania"
598,"","AUS_Kangaroo_Island_598","ISL","Oceania"
