"OBJIDsic","name","LON","LAT","island","area","dem.sd","temp.mean","aridity.mean","pop.dens.2010.mean","gdp.pc.2011.mean","crop.area.prop","time.emp.GB","time.emp.ESP","time.emp.PRT","time.emp.NL"
817,"Cape Verde",-23.96723977,15.93614025,1,3905.36,428.02,22.1,0.11,121.35,6147.97,0,0,0,483,0
818,"Costa Rica",-84.18208716,9.96934863,0,53016.05,676.69,23.6,1.79,88.16,12904.42,0.1,0,305,0,0
820,"Curacao",-68.97154392,12.19337787,1,440.4,23.29,27.7,0.26,326.36,41168.61,0,11,0,0,360
821,"Christmas Island",105.63655304,-10.48534407,1,140.49,79.46,24,1.41,12.12,41107.48,0,70,0,0,0
822,"Cayman Islands",-80.87358491,19.42543619,1,281.88,6.47,26.8,0.7,191.48,42151,0,301,0,0,0
823,"Cyprus",33.25774886,35.07996767,1,9919.92,291.12,18.2,0.26,111.63,32983.18,0.14,73,0,0,0
824,"Czech Republic",15.3141031,49.73244821,0,78672.97,180.72,7.6,0.79,133.82,25386.74,0.41,0,0,0,0
827,"Dominica",-61.34998781,15.43455158,1,758.58,228.85,25,1.05,93.74,10189.4,0,167,0,0,0
828,"Denmark",10.04171141,55.96475267,0,41195.14,24.23,8.1,0.96,124.65,32044.4,0.57,0,0,0,0
829,"Dominican Republic",-70.49107871,18.90962154,1,47373.31,488.87,24,0.76,216.5,11323.68,0.34,0,346,0,0
830,"Algeria",2.62661464,28.16180159,0,2326764.93,319.33,23.3,0.03,16.55,12947.03,0.02,0,0,0,0
833,"Egypt",29.86695425,26.50386465,0,1005121.55,221.1,22.3,0.01,87.08,9943.95,0.02,44,0,0,0
834,"Eritrea",38.83732758,15.34407533,0,120095.95,576.88,26.4,0.15,38.9,1426.26,0.04,10,0,0,0
836,"Balearic Islands",2.89990333,39.55967741,1,5106.39,150.43,16.4,0.39,216.18,34328.8,0.38,94,491,0,0
838,"Estonia",25.5276165,58.6741363,0,45791.46,35.65,5.4,0.89,31.57,17706.48,0.19,0,0,0,0
839,"Ethiopia",39.62778382,8.61862319,0,1136388.45,709.99,22.9,0.42,77.77,1173.95,0.1,0,0,0,0
840,"Finland",26.28931982,64.52001552,0,331228.12,97.67,1.7,0.98,17.35,35302.77,0.07,0,0,0,0
841,"Aiwa, Lau Islands",-178.69239973,-18.32840205,1,1.45,2.07,25.4,1.2,51.57,7486.76,0,98,0,0,0
842,"Lakeba, Lau Islands",-178.78986547,-18.21109269,1,62.44,37.41,25.2,1.31,26.68,7486.76,0,98,0,0,0
843,"Nasoata, Fiji Islands",178.58708187,-18.1456889,1,0.83,0.27,25,1.46,43.22,7486.76,0,98,0,0,0
844,"Nayau, Lau Islands",-179.05240823,-17.97832233,1,19.45,34.15,25.1,1.26,16.7,7486.76,0,98,0,0,0
845,"Rotuma",177.08037497,-12.50316528,1,47.5,30.6,27.1,2.02,37.53,3649.4,0,98,0,0,0
848,"Clipperton Island",-109.21685985,10.30285597,1,10.16,0,28.6,3.91,0,0,0,0,0,0,0
849,"Corsica",9.10555865,42.15173171,1,8745.14,481,13.2,0.6,36.89,34490.96,0.03,2,0,0,0
851,"Faroe Islands",-6.92983193,62.04123176,1,710.31,123.82,6,5.76,45.67,28599.85,0,0,0,0,0
852,"Gabon",11.79304392,-0.59750677,0,263569.17,214.93,24.5,1.66,6.34,16950.76,0.02,0,0,0,0
853,"Diego Garcia",72.43426346,-7.3393291,1,37.56,2.24,27.3,1.32,112.859424920128,34266.97,0,45,0,0,0
858,"Georgia",43.5298772,42.1751328,0,69825.51,851.35,7.9,1.08,63.7,7484.61,0.15,0,0,0,0
859,"Ghana",-1.21594794,7.93321638,0,240836.71,94.33,27,0.73,102.69,3402.6,0.26,83,0,331,0
860,"Guinea",-10.92749833,10.43018566,0,246065.18,221.93,25.7,0.93,45.58,1198.4,0.07,0,0,0,0
861,"Maria Galante",-61.26856868,15.93211367,1,160.78,47.6,26.5,0.71,73.88,10189.4,0,7,0,0,0
862,"GNB_East",-14.34732698,12.15600986,0,15108.05,27.44,26.6,0.75,30.8,1426.17,0.19,0,0,94,0
863,"GNB_North",-15.63729002,12.22104996,0,11295.04,13.77,26.4,0.7,92.73,1451.16,0.16,0,0,481,0
