OBJIDsic,Region_new,Region_unique,MainIsl,colonizer,from,to,UN_geospat
431,,USA_St_Croix_431,ISL,Great_Britain,1801,1801,Central_America_Carib
431,,USA_St_Croix_431,ISL,Great_Britain,1807,1815,Central_America_Carib
432,,GBR_St_Helena_432,ISL,Portugal,1502,1651,Mid_South_Africa
432,,GBR_St_Helena_432,ISL,Great_Britain,1651,1981,Mid_South_Africa
433,,USA_St_John_433,ISL,Spain,1493,1671,Central_America_Carib
433,,USA_St_John_433,ISL,Great_Britain,1684,1718,Central_America_Carib
433,,USA_St_John_433,ISL,Netherlands,1717,1807,Central_America_Carib
433,,USA_St_John_433,ISL,Great_Britain,1801,1802,Central_America_Carib
433,,USA_St_John_433,ISL,Great_Britain,1807,1815,Central_America_Carib
435,,USA_St_Thomas_435,ISL,Spain,1493,1625,Central_America_Carib
435,,USA_St_Thomas_435,ISL,Netherlands,1814,1917,Central_America_Carib
435,,USA_St_Thomas_435,ISL,Netherlands,1625,1807,Central_America_Carib
435,,USA_St_Thomas_435,ISL,Great_Britain,1801,1802,Central_America_Carib
435,,USA_St_Thomas_435,ISL,Great_Britain,1807,1815,Central_America_Carib
453,,PRT_Terceira_453,ISL,Portugal,1450,1976,Europe
469,,TUV_Tuvalu_469,ISL,Great_Britain,1892,1978,Micronesia_Polynesia
471,United_Arab_Emirates,ARE_United_Arab_Emirates_471,MAIN,Great_Britain,1892,1971,Western_Asia
481,,VUT_Vanuatu_481,ISL,Great_Britain,1906,1980,Oceania
484,Victoria,AUS_Victoria_484,MAIN,Great_Britain,1834,1904,Oceania
485,,USA_Vieques_485,ISL,Spain,1493,1689,Central_America_Carib
485,,USA_Vieques_485,ISL,Spain,1693,1698,Central_America_Carib
485,,USA_Vieques_485,ISL,Great_Britain,1698,1811,Central_America_Carib
485,,USA_Vieques_485,ISL,Spain,1698,1811,Central_America_Carib
485,,USA_Vieques_485,ISL,Spain,1811,1898,Central_America_Carib
497,Western_Sahara,ESH_Western_Sahara_497,MAIN,Spain,1884,1975,North_Africa
506,Belize,BLZ_Belize_506,MAIN,Spain,1524,1862,Central_America_Carib
506,Belize,BLZ_Belize_506,MAIN,Great_Britain,1798,1980,Central_America_Carib
508,,ABW_Aruba_508,ISL,Spain,1499,1636,South_America
508,,ABW_Aruba_508,ISL,Netherlands,1636,1986,South_America
508,,ABW_Aruba_508,ISL,Great_Britain,1799,1802,South_America
508,,ABW_Aruba_508,ISL,Great_Britain,1804,1816,South_America
509,Angola,AGO_Angola_509,MAIN,Portugal,1576,1974,Mid_South_Africa
510,,GBR_Anguilla_510,ISL,Great_Britain,1650,1665,Central_America_Carib
510,,GBR_Anguilla_510,ISL,Great_Britain,1667,1980,Central_America_Carib
512,Buenos_Aires_Area,ARG_Buenos_Aires_Area_512,MAIN,Spain,1536,1818,South_America
513,Catamarca,ARG_Catamarca_513,MAIN,Spain,1558,1818,South_America
514,Chaco,ARG_Chaco_514,MAIN,Spain,1585,1818,South_America
515,Chubut,ARG_Chubut_515,MAIN,Spain,1779,1818,South_America
516,Cordoba,ARG_Cordoba_516,MAIN,Spain,1573,1818,South_America
517,Corrientes,ARG_Corrientes_517,MAIN,Spain,1588,1818,South_America
518,Buenos_Aires_City,ARG_Buenos_Aires_City_518,MAIN,Spain,1536,1818,South_America
519,Entre_Rios,ARG_Entre_Rios_519,MAIN,Spain,1760,1818,South_America
520,Formosa,ARG_Formosa_520,MAIN,Spain,1585,1818,South_America
521,Jujuy,ARG_Jujuy_521,MAIN,Spain,1592,1818,South_America
522,La_Pampa,ARG_La_Pampa_522,MAIN,Spain,1776,1818,South_America
523,La_Rioja,ARG_La_Rioja_523,MAIN,Spain,1591,1818,South_America
524,Mendoza,ARG_Mendoza_524,MAIN,Spain,1561,1818,South_America
525,Misiones,ARG_Misiones_525,MAIN,Spain,1610,1818,South_America
526,Neuquen,ARG_Neuquen_526,MAIN,Spain,1670,1818,South_America
527,Rio_Negro,ARG_Rio_Negro_527,MAIN,Spain,1670,1818,South_America
528,Salta,ARG_Salta_528,MAIN,Spain,1582,1818,South_America
529,Santa_Cruz,ARG_Santa_Cruz_529,MAIN,Spain,1584,1818,South_America
530,Santiago_del_Estero,ARG_Santiago_del_Estero_530,MAIN,Spain,1553,1818,South_America
531,Santa_Fe,ARG_Santa_Fe_531,MAIN,Spain,1573,1818,South_America
532,San_Juan,ARG_San_Juan_532,MAIN,Spain,1562,1818,South_America
533,San_Luis,ARG_San_Luis_533,MAIN,Spain,1596,1818,South_America
534,,ARG_Tierra_del_Fuego_ARG_534,ISL,Spain,1557,1818,South_America
535,Tucuman,ARG_Tucuman_535,MAIN,Spain,1549,1818,South_America
536,,USA_Aunuu_536,ISL,Great_Britain,1830,1834,Micronesia_Polynesia
539,,USA_Swains_539,ISL,Great_Britain,1830,1834,Micronesia_Polynesia
540,,USA_Tau_540,ISL,Great_Britain,1830,1834,Micronesia_Polynesia
541,,USA_Tutuila_541,ISL,Great_Britain,1830,1834,Micronesia_Polynesia
543,,GBR_Antigua_543,ISL,Great_Britain,1632,1974,Central_America_Carib
544,,GBR_Barbuda_544,ISL,Great_Britain,1628,1974,Central_America_Carib
545,,AUS_Alexander_Island_545,ISL,Great_Britain,1830,1904,Oceania
546,,AUS_Ashmore_Reef_546,ISL,Great_Britain,1830,1904,Southeast_Asia
547,,AUS_Beacon_Island_547,ISL,Great_Britain,1830,1904,Oceania
549,,AUS_East_Wallabi_Island_549,ISL,Great_Britain,1830,1904,Oceania
550,,AUS_Gilbert_Island_550,ISL,Great_Britain,1830,1904,Oceania
551,,AUS_Gun_Island_551,ISL,Great_Britain,1830,1904,Oceania
552,,AUS_Helms_Island_552,ISL,Great_Britain,1830,1904,Oceania
553,,AUS_Hummock_Island_553,ISL,Great_Britain,1830,1904,Oceania
554,,AUS_Leo_Island_554,ISL,Great_Britain,1830,1904,Oceania
556,,AUS_Little_Rat_Island_556,ISL,Great_Britain,1830,1904,Oceania
557,,AUS_Morley_Island_557,ISL,Great_Britain,1830,1904,Oceania
558,,AUS_Middle_Island_558,ISL,Great_Britain,1830,1904,Oceania
